YTID,start_seconds
--2H9Dj9eMY,30.0
-7uwQqneg8k,30.0
-AQMWVBPjLw,30.0
-Cmx1DFd8pQ,30.0
-G9YsqEDCzU,180.0
-KECxvZZHYg,30.0
-LabGpL-2Qg,30.0
-M-de_XrGJ0,30.0
-Ob5G-dp3Lk,30.0
-T-IMrE_Tl4,30.0
-UKPxeAUdk0,50.0
-UX39TNCoJk,280.0
-X7d4l-QEh0,40.0
-Y1n_bSOPQk,180.0
-doqS3cPH4M,230.0
-fEfROp5hIo,30.0
-gaL8PWOIE0,70.0
-oA6nwYoVZU,30.0
-q3ddU1erZw,220.0
-qlA1Z28tqI,30.0
-tONalCF3Uk,1.0
-vdkH4DVSfA,100.0
-wI38fzyk0g,230.0
-xeF1mhGHtc,30.0
-yd5wxWeXsE,20.0
-z7ecpgSIjc,100.0
00sjHIMfmOk,20.0
01iO1Fh1QMQ,0.0
02VEjdPuJms,160.0
041jEcsnoFE,30.0
0BPIwhsDymw,28.0
0CF4sc8DHC4,10.0
0DNRdvN9HNA,180.0
0KT0Slt2hzY,250.0
0LO5TLbEQzA,400.0
0OIZaHMUdvA,30.0
0Pw3OAXHNLM,80.0
0Rw60YzDzUo,80.0
0StHqhq0zRk,30.0
0T3PPaCe8Gc,30.0
0TQQn_S8ZDM,30.0
0Tc-hDra8Ic,30.0
0TjvOoK62cc,30.0
0bl9sBFbVXk,30.0
0f2Ry1hhVQo,0.0
0fqcPYazSCE,160.0
0vvHATeHM_U,290.0
0yQFLuXBbTo,290.0
1-OvzzqIbIw,30.0
11FnrJH6hUo,350.0
13ehbWr8l5w,22.0
1AfXFAf3trQ,40.0
1CvWpvn7K80,30.0
1DxNri9gJr0,90.0
1EmKiceyI7E,30.0
1Hdxp8W6IV0,100.0
1Ki_0-5TgX4,500.0
1MmjLn5K9Gg,150.0
1PAii-A1TDI,120.0
1QYKnKrOzqw,30.0
1V2VImKmHP8,70.0
1eNvdYhkin4,200.0
1n6RGJn6WbY,30.0
1zVh97nE6TE,490.0
29sMtRpKpnk,30.0
2A9cNdvHr3w,80.0
2EncSSt9BEg,40.0
2H5T7s-v5hE,130.0
2HbuDx_BhW8,40.0
2NRNCVQRJWs,30.0
2Pjwf5V0omE,320.0
2PxshRgsa8Q,20.0
2Q8rXOXnhQU,290.0
2RMDPyh3G58,20.0
2fHOFU-quvw,240.0
2ndwZG2uok0,500.0
2oWosA91i2g,120.0
2rExTTl6Ck0,20.0
2vXlGSNtcn0,150.0
34JYVr3EYMI,30.0
35rpfR-PKRU,240.0
3KiiTD2cpMI,30.0
3LLOoW15ZnY,110.0
3WlaW5DStvQ,40.0
3Xb3gGBvUBY,70.0
41kTdliynWo,80.0
43IxB0Hz2RA,0.0
49GKKQCb6gM,90.0
