YTID,start_seconds
-8S9TKWIOSc,30
-9ummbDsgFM,30
-DVM0BK_h5A,30
-GnKRy1-NFo,150
-KWoQzfEzok,90
-NmKNGjcERA,80
-RNbb1ZTu8Y,30
-SgK-t40AoY,40
-eV9hw6kPRU,30
-rB-q8LKp-I,30
-wmaDx3C9b4,22
-zHk3s6BkpA,30
-zNFhsPBWUM,30
0M3AYnUPk4g,30
0fjrDsLr_aE,30
18NpKwKl6Rk,30
29y1jdo96jw,0
2mBAi3PkE4U,30
2vqn1vRl-No,30
384nku0gUe4,30
3O92j7ue-hE,30
3RFUrX4lRM8,30
3pQxeCqSqtE,10
3sMa94JiLZI,30
44PsYJNgEek,6
485pU5sKtcI,210
48h1ibWL_8c,90
49wP_Zmqkyc,30
4HFaGTxgh14,180
4IXh4lRq_Hs,290
4voVgILqCoA,30
59svx6RTX6E,100
5J0IFzqU9-E,30
5NqpmNqPDeQ,30
5csBOR-cdgw,0
5d0TnzxTgKM,40
5f7z2-05sBk,30
5kUXjphzr7U,30
5mKfMbsjeAs,30
5zSPUfVm32A,30
6-WxHsmNta8,0
66-n0kgMDfM,140
6Cg2mgELq8A,10
6aV6c8mY0lg,30
73mQmyZZsSw,10
77Jn4nNjcrM,47
7EJ1TlhoFKc,30
7FSkFZcTWXI,10
7P1-Lxp0bcg,110
7SChBv97cmg,10
7cPo0JhnJjQ,30
7ckyVndW6R8,30
7eAIvG3uFjo,10
7ly236Hvae0,30
83C1jdaWwSg,30
8WMRrXWeepA,240
8YjckYU7TzI,30
9FIE961ZSxQ,30
9LBd-au2bh8,220
9gMBHU-Fw-E,30
A2Q9mLfZD2E,80
A5CJ4ZFpKes,10
A6o7kLCXee0,16
AILthMOdN60,30
A_4yeTLSws8,30
AgDxQIamHek,30
AjZ1Yaz-540,28
AyHBSX1ODrM,30
BHJoLGId1go,0
BP7jhiakGVo,30
BR7mmabA9z8,30
BVu4HrPCEXM,130
BZCgbtdNH6Q,30
Bc3YWH2K3JA,30
BrIegoRxgGc,30
BtjZjdUqzvY,4
C-uNumeNFu4,30
C0c3ktHKBJ8,60
C2Ai_RKUxPY,30
C8CFiyI_Ba8,0
CBw20AYBM80,40
CQDY8CdIfMw,30
CQqjv5jpGR8,30
CS1eMi0oZzo,20
CS4cJBRBE6I,0
CaQlTXWFALY,10
CjuCLyuvIAY,90
Cm7EoUFnLbU,30
CobeC6B67wA,30
CocB6ItybUE,30
CtMlhwN3wAI,30
CwePqPu5Rqo,30
D-1qr9Ye5-8,170
D0kNXqg7Kcw,20
D4g4hDty-0Y,150
D8QghlF89yc,30
DA2ECI9KQV8,40
DCX49O49QBs,130
DMTAv9mw_x8,20
DZ2OJ2BQEos,50
D_tJ83kIq6A,240
Dv50x3XXrUs,30
ETh_6BApXeM,0
EXxDqf6KV0w,30
EbJXo7Fw09I,10
Elq7JR_OQOE,180
Em2GJb2DnDE,30
EwoQIa82vZc,30
EwuHWwIpH-Y,30
FGJQ3KC-Geo,110
FJeQBOfG7p8,60
FVL372sQVG4,50
FlASw7qL1kY,180
Flk4WxLho2U,80
FmOBqP7psWU,40
FukgD9pUTgo,90
FwNp3eTUMVo,20
G2zC8-a0YJg,30
GD-hZIUFPus,30
GN5Pqfq2SV8,30
GNDSZVryFaw,80
GP1C6uJdL1g,60
GQKUYiyRzTQ,70
GTeMzdJBP9A,30
GTkDzl1Q6xQ,10
GcB0moY-9ho,30
H5aMRDYp-GQ,0
HJxW5SGaPMA,90
HNvsScpSGFg,10
HX_m4fjZIj0,30
HZ69dl6yTYM,90
HaBBfz0TthI,20
Havc0BV1V-s,200
Hj5EYl2b91Q,30
Hl8zfhcboAc,290
ITMF57JL2KQ,50
IWhf8e-AVWo,30
I_s_gBzEtCs,190
Ije0xxBIf-8,30
IpzA4CaZT_Q,0
IzJtqrr3_4o,30
JBPezyDs1-k,24
JC5XE0uh0b0,30
JKdmCnXxlKA,30
J_6YpZUoBDQ,50
JagdfM4M1ZE,20
JjYzReliwrs,30
JpMgTjsMLPU,30
JqfhG1dFMT4,30
K1xgVfLdwVg,30
K48R-3BejZg,10
K4S_3omKjXE,160
K4dSVn0RLGM,20
KBuqNcauF4c,38
KHGe6sCJQ34,30
KR3JHGSwScQ,10
