hex_code,name,tags
#4BAB6E,Go Green,bright;green
#35CBC4,Bright Teal,bright;teal
#5DCBF3,Sky Blue,bright;lightblue
#4069E0,Royal Blue,bright;blue
#D16EFF,Parmaviolet,bright;purple
#FF58B3,Hot Pink,bright;pink
#EA2353,Crimson Pink,bright;fuchia
#F14124,Red-Orange,bright;red
#FD8C00,Orange,bright;orange
#FFE066,Soft Yellow,bright;yellow
#226B67,Dark Teal,dark;teal
#1987A9,Ocean Blue,dark;lightblue
#344885,Indigo,dark;blue
#633585,Deep Purple,dark;purple
#A31D6C,Magenta Plum,dark;pink
#93032E,Burgundy,dark;fuchia
#C3260C,Red,dark;red
#F75C03,Tangerine,dark;orange
#FFBA08,Golden Yellow,dark;yellow
#468780,Muted Teal,muted;teal
#6879A3,Slate Blue,muted;blue
#C8A3E6,Lavender,muted;purple
#E15AA1,Rose Pink,muted;pink
#FA697B,Salmon Pink,muted;fuchia
#E06450,Coral,muted;red
#E9C46A,Warm Sand,muted
#D14D41,Red,flexoki;red;muted
#DA702C,Orange,flexoki;orange;muted
#D0A215,Yellow,flexoki;yellow;muted
#879A39,Green,flexoki;green;muted
#3AA99F,Cyan,flexoki;cyan;muted;teal
#4385BE,Blue,flexoki;blue;muted
#8B7EC8,Purple,flexoki;purple;muted
#CE5D97,Magenta,flexoki;magenta;muted;fuchia
#AF3029,Red,flexoki;red;dark
#BC5215,Orange,flexoki;orange;dark
#AD8301,Yellow,flexoki;yellow;dark
#66800B,Green,flexoki;green;dark
#24837B,Cyan,flexoki;cyan;dark;teal
#205EA6,Blue,flexoki;blue;dark
#5E409D,Purple,flexoki;purple;dark
#A02F6F,Magenta,flexoki;magenta;dark;fuchia
