YTID,start_seconds
-IaFCZCig0w,11.0
-L_xGAyM_Qw,60.0
-Qu_qoBYg-8,0.0
02UahUjIv5A,24.0
0U6ebFYFPjk,30.0
0Z-QuADcHbo,0.0
0qlT_eblMAU,80.0
1Ude4T6NCUY,120.0
1emMgdbf-L4,1.0
1sTBh7KLUEg,3.0
272KiALPCzM,23.0
2MxcgNyaqFY,120.0
3pVA-QGwVco,30.0
3qt8q7gbR2g,0.0
4qbRex7k6b8,0.0
5oaWb-QV0jo,15.0
6bWaHsoPxAM,10.0
6vfrTvRKSvg,40.0
7YO4xk2hldA,150.0
8DJLjktTvCs,60.0
8R_0O7O36UY,0.0
9F1KhDZXvBU,30.0
APoohNMTR1U,20.0
ApY62OwIN5Q,0.0
BQzWVHvV_vI,240.0
Bd2OCl5dxYg,10.0
BhyMA3CuWkE,22.0
CP0Kal7Bfwk,14.0
CPVSpl2eqRc,220.0
CaVKxKmFvEk,60.0
DfF0b6ru1_E,30.0
DoiHLyotWdU,0.0
DuGCmILlYic,20.0
DzF--NedkqY,170.0
E9dHRFtVehc,0.0
EMVnxrYkzoM,13.0
Ey_OWYntD6E,25.0
EzJRypMUfgE,20.0
FC_UVoKEGAI,30.0
FDqcCb0OgTg,0.0
FUiAOhrm63E,15.0
FxgAwrXenok,1.0
G6v8ud4SQUE,0.0
GP74ZIBKwyA,140.0
G_IUymNUVxo,23.0
GlSiGSS3T9A,30.0
HIG5U6nXunU,23.0
HR7Sk0L4s58,0.0
HbsniEGbyik,30.0
Hg0GYBtEKwY,7.0
HhVEkl-xFUo,90.0
II85Ieg2TYc,70.0
IKk7RiqtOF0,20.0
INPA3sihh_4,0.0
INakOVhEFtY,30.0
IPJ2Il5BtAU,30.0
IQmrVcRT-oI,20.0
ISHdpeVUWFQ,0.0
ITlNgb9BpjU,24.0
IcHFg7O3wLI,0.0
IvTDEpabGc8,8.0
JHy4c-0z_aE,9.0
JRMHw7k_9Ug,0.0
K-krra6cxhc,110.0
LGAv7rPbW-Q,0.0
Le5ri1Xke_Q,27.0
LjwOdURNfkM,120.0
Lnj7Z2fFjTA,0.0
LrhrN7LUFCA,30.0
MBY1fyppNt0,10.0
MSErtU1RlNQ,90.0
Mr3usoMgUd0,90.0
NNvTRj-zBkU,30.0
NY-kMWCAhfo,7.0
Nnq9kx_ExC4,30.0
NzoNemLg-KY,0.0
OHWRjxRAxf8,20.0
