Name,Include1,Include2,Include3,Include4,Include5,Include6,Include7,Include8,Include9,Include10
Aircraft,Vehicle,"Fixed-wing aircraft, airplane",Jet engine,Aircraft engine,Helicopter,,,,,
Bird,"Bird vocalization, bird call, bird song","Chirp, tweet",Duck,Goose,Coo,"Pigeon, dove",Owl,"Outside, rural or natural",,
Car,Motor vehicle (road),Vehicle,Car passing by,"Traffic noise, roadway noise",,,,,,
"Cattle, bovinae",Moo,"Livestock, farm animals, working animals",Animal,,,,,,,
Chainsaw,Power tool,Engine,,,,,,,,
Cricket,Insect,,,,,,,,,
"Crowing, cock-a-doodle-doo",Fowl,"Chicken, rooster",,,,,,,,
Dog,"Domestic animals, pets","Canidae, dogs, wolves",Animal,Bark,Bow-wow,Yip,Howl,,,
Dog,"Domestic animals, pets",Bark,Bow-wow,,,,,,,
Frog,Croak,Animal,,,,,,,,
Goat,Bleat,Animal,"Livestock, farm animals, working animals",,,,,,,
"Gunshot, gunfire",,,,,,,,,,
Horse,"Neigh, whinny",Clip-clop,"Livestock, farm animals, working animals","Outside, rural or natural",,,,,,
Lawn mower,Power tool,Engine,,,,,,,,
Moo,"Cattle, bovinae","Livestock, farm animals, working animals",,,,,,,,
"Neigh, whinny",Horse,Animal,,,,,,,,
Rain,Raindrop,,,,,,,,,
Sheep,Bleat,Animal,"Domestic animals, pets",Goat,"Livestock, farm animals, working animals","Outside, rural or natural",,,,
Sheep,Bleat,Animal,"Livestock, farm animals, working animals",,,,,,,
Siren,"Fire engine, fire truck (siren)",Police car (siren),Ambulance (siren),,,,,,,
Speech,"Narration, monologue","Female speech, woman speaking","Male speech, man speaking","Child speech, kid speaking",,,,,,
Train,"Railroad car, train wagon",Train horn,Rail transport,Clickety-clack,Vehicle,,,,,
Truck,Motor vehicle (road),Vehicle,"Traffic noise, roadway noise",,,,,,,
Wind,Wind noise (microphone),,,,,,,,,
